1506468601	Bitstamp	3888.88000000	9957.14490949
1506468601	Bittrex	3892.50000000	4267.12823011
1506468601	C-Cex	3967.00001000	16.90950875
1506468601	Cex.io	3983.20550000	817.45407745
1506468601	Exmo	3889.46000000	21.62931245
1506468601	Hitbtc	3888.73000000	1374.46
1506468601	Kraken	3893.80000000	4264.22278028
1506468601	Livecoin	3949.80000000	530.20625021
1506468601	Nix-e	3201.00000000	0.00063389
1506468601	wexnz	4440.00000000	367.90931
1506468601	YoBit	3931.99999999	53.64187915
1506468601	Bitstamp	3888.88000000	9957.14490949
1506468601	Bittrex	3892.50000000	4267.12823011
1506468601	C-Cex	3967.00001000	16.90950875
1506468601	Cex.io	3983.20550000	817.45407745
1506468601	Exmo	3889.46000000	21.62931245
1506468601	Hitbtc	3888.73000000	1374.46
1506468601	Kraken	3893.80000000	4264.22278028
1506468601	Livecoin	3949.80000000	530.20625021
1506468601	Nix-e	3201.00000000	0.00063389
1506468601	wexnz	4440.00000000	367.90931
1506468601	YoBit	3931.99999999	53.64187915
1506468662	Bitstamp	3892.99000000	9960.33136764
1506468662	Bittrex	3893.00000000	4265.75601049
1506468662	C-Cex	3967.00001000	16.90950875
1506468662	Cex.io	3976.49020000	817.43407745
1506468662	Exmo	3889.46000000	21.54231245
1506468662	Hitbtc	3891.37000000	1374.86
1506468662	Kraken	3893.70000000	4264.8731095
1506468662	Livecoin	3949.80000000	530.17220021
1506468662	Nix-e	3201.00000000	0.00063389
1506468662	wexnz	4440.00000000	367.90931
1506468662	YoBit	3922.39200000	53.63363921
1506473222	Bitstamp	3896.67000000	10151.2614546
1506473222	Bittrex	3907.50000000	4170.46027778
1506473222	C-Cex	3998.00000000	17.46443874
1506473222	Cex.io	3993.04590000	808.44270361
1506473222	Exmo	3888.40000000	21.52676836
1506473222	Hitbtc	3908.61000000	1400.11
1506473222	Kraken	3907.70000000	4307.18625642
1506473222	Livecoin	3945.68687000	534.98298467
1506473222	Nix-e	3201.00000000	0.00063389
1506473222	wexnz	4449.99900000	370.65929
1506473222	YoBit	3923.39199997	54.15025417
1506473281	Bitstamp	3903.36000000	10129.1311606
1506473281	Bittrex	3910.50500000	4168.79003281
1506473281	C-Cex	3998.00000000	17.46443874
1506473281	Cex.io	3993.04590000	806.29092165
1506473281	Exmo	3888.40000000	21.52676836
1506473281	Hitbtc	3904.74000000	1400.17
1506473281	Kraken	3907.70000000	4307.17659672
1506473281	Livecoin	3945.68687000	534.98298467
1506473281	Nix-e	3201.00000000	0.00063389
1506473281	wexnz	4449.99900000	370.66059
1506473281	YoBit	3923.39199997	54.15025417
